app_id,genre
32510,Action
32510,Adventure
32610,Action
32620,Action
32630,Action
32640,Action
32650,Action
32660,Action
32670,Action
32750,Action
32750,Simulation
32760,Simulation
32770,Action
32800,Action
32800,RPG
32900,Casual
32900,Indie
32900,Simulation
32900,Strategy
33100,Action
33100,Indie
33100,RPG
33130,Action
33130,Indie
33130,RPG
33320,Action
33320,Adventure
33390,Action
33390,Indie
33460,Adventure
33460,Simulation
33520,Simulation
33520,Strategy
33570,RPG
33570,Simulation
33570,Strategy
33600,Adventure
33600,Casual
33620,Action
33620,Racing
33670,RPG
33670,Strategy
33680,Indie
33770,RPG
33980,Action
33990,Adventure
34030,Strategy
34190,Racing
34410,Action
34500,Indie
34500,Simulation
34500,Strategy
34600,Strategy
34810,Action
34810,Simulation
34830,Action
34870,Action
34900,Indie
35000,Action
35000,Adventure
35130,Action
35130,Adventure
35140,Action
35140,Adventure
35320,Racing
35460,Action
35460,Adventure
35460,Indie
35460,Strategy
37000,Action
37000,Adventure
37240,Simulation
37260,Adventure
37300,Simulation
37380,Casual
37390,Casual
37400,Adventure
37400,Indie
37600,Adventure
37600,Casual
37600,Indie
38400,RPG
38410,RPG
38420,Strategy
38430,Action
38450,Action
38460,Action
39000,Adventure
39000,Simulation
39000,Strategy
39110,Casual
39140,RPG
39200,RPG
39500,Action
39500,RPG
39510,Action
39510,RPG
39520,Simulation
39520,Strategy
39530,Action
39550,RPG
39550,Strategy
39560,Action
39640,Action
39650,Simulation
39650,Strategy
39660,Simulation
39660,Strategy
39670,Action
39680,Simulation
39680,Strategy
39800,Action
39800,Indie
40100,Strategy
40300,RPG
40320,Strategy
40330,Adventure
40340,Adventure
40350,Adventure
40380,Racing
40720,Adventure
40720,Casual
40720,Indie
40960,Simulation
40960,Strategy
40980,Simulation
40980,Strategy
41014,Action
41014,Indie
41050,Action
41050,Indie
41300,Action
41300,Casual
41300,Free to Play
41300,Indie
41300,Simulation
41300,Strategy
41500,RPG
41700,Action
41700,RPG
41730,Action
41730,Casual
41730,Indie
41740,Action
41740,Adventure
41740,Simulation
41800,Indie
41800,Simulation
41800,Strategy
41900,Action
41900,Adventure
41900,RPG
42120,Action
42140,Adventure
42140,Casual
42140,Indie
42170,Action
42170,Adventure
42170,Indie
42170,RPG
42170,Strategy
42220,Adventure
42670,Action
42700,Action
42810,Strategy
42890,Strategy
42920,Strategy
42980,Strategy
42990,Strategy
43110,Action
43190,Action
43190,Indie
44340,Action
44340,Strategy
44350,Racing
44350,Sports
44360,Racing
44360,Simulation
44360,Sports
44690,Racing
44690,Simulation
44690,Sports
45000,Indie
45000,Strategy
45100,Casual
45100,Indie
45300,Simulation
45410,Racing
45450,Casual
45450,Indie
45730,Action
45730,Adventure
46250,Action
46260,RPG
46260,Strategy
46280,RPG
46280,Strategy
46370,Simulation
46400,Action
46400,RPG
46450,Indie
46450,RPG
46450,Strategy
46460,Adventure
46480,Adventure
46490,Adventure
46500,Adventure
46500,Casual
46560,Strategy
46570,Adventure
46570,Indie
46570,RPG
46570,Strategy
46750,Adventure
46750,Indie
46770,Indie
46770,Simulation
46770,Strategy
47400,Simulation
47400,Strategy
47920,Racing
48110,Simulation
48150,Casual
48190,Action
48190,Adventure
48220,RPG
48220,Strategy
48240,Strategy
48700,Action
48700,RPG
48720,Action
48720,RPG
48800,Simulation
49000,Casual
49330,Strategy
49520,动作
49520,角色扮演
49540,Action
50000,Indie
50000,Racing
50300,Action
50300,Adventure
50620,Action
50620,Adventure
50920,Casual
50920,Indie
50930,Casual
50940,Casual
50960,Casual
50970,Casual
50980,Casual
50990,Adventure
50990,Casual
51000,Adventure
51000,Casual
51010,Casual
51010,Simulation
51060,Adventure
51060,Casual
55000,Adventure
55000,Indie
55000,Strategy
55040,Indie
55040,Strategy
56438,Strategy
57000,Action
57000,Adventure
57200,Casual
57200,Indie
57300,Action
57300,Adventure
57300,Indie
57400,Action
57400,Adventure
57680,Action
57680,Adventure
57690,Simulation
57690,Strategy
57900,Action
58200,Adventure
58200,Casual
58200,Indie
58230,Adventure
58230,Casual
58230,Indie
58520,Sports
58520,Strategy
58560,Adventure
58570,Adventure
58610,Indie
58610,Simulation
58610,Strategy
60800,RPG
61510,RPG
61510,Strategy
61730,Action
61730,Casual
61730,Indie
63200,Action
63200,Strategy
63200,Indie
63200,Sports
63380,Action
63610,Adventure
63610,Casual
63650,Adventure
63650,Casual
63650,Indie
63660,Adventure
63660,Casual
63700,Action
63700,Casual
63700,Indie
63910,RPG
63910,Strategy
64000,Strategy
65080,Adventure
65080,Indie
65530,RPG
65530,Strategy
65600,RPG
65610,RPG
65780,Action
65780,Simulation
65780,Strategy
65800,Action
65800,Indie
65800,RPG
65800,Strategy
65930,Action
65980,Strategy
67000,Action
67000,Casual
67000,Indie
70000,Action
70000,Indie
70210,Adventure
70210,Casual
70210,Indie
70210,Simulation
70300,Action
70300,Indie
70400,RPG
70400,Indie
70420,Action
70420,RPG
70420,Indie
70620,Sports
70620,Strategy
70640,Strategy
70900,Indie
70900,Strategy
71000,Action
71000,Indie
71000,Simulation
71260,Action
71340,Action
72000,Indie
72200,Casual
72200,Indie
72200,Simulation
72850,RPG
73010,Simulation
73170,Strategy
73190,Simulation
73190,Strategy
73210,RPG
73210,Simulation
73210,Strategy
78000,Casual
78000,Strategy
80200,Casual
80200,Indie
80200,Simulation
80200,Strategy
80300,Adventure
80300,Indie
80310,Adventure
80310,Indie
80340,Adventure
80340,Indie
80350,Adventure
80350,Indie
80360,Adventure
80360,Indie
91100,Indie
91100,Racing
