app_id,language
4700,Italian
4700,German
4700,Spanish
4700,Czech
4700,Hungarian
4700,Polish
4700,Russian
4780,English
4870,English
4880,English
4920,English
4920,French
4920,German
4920,Spanish
4920,Polish
4920,Russian
4920,Finnish
4920,Romanian
4920,Swedish
4920,Czech
6000,English
6000,French
6000,German
6000,Spanish
6010,English
6030,English
6030,French
6030,German
6030,Spanish
6030,TraditionalChinese
6040,English
6040,French
6040,Italian
6040,German
6040,Spanish
6080,English
6080,French
6080,German
6080,Italian
6080,Spanish
6120,English
6200,English
6200,French
6200,German
6200,Italian
6200,Spanish
6220,English
6220,French
6220,German
6220,Italian
6220,Spanish
6300,English
6310,English
6400,English
6400,French
6400,German
6400,Italian
6400,Spanish
6420,English
6420,French
6420,Italian
6420,German
6420,Russian
6420,Hungarian
6800,English
6810,English
6830,English
6830,German
6840,English
6860,English
6880,English
6910,English
6920,English
6980,English
7010,English
7020,English
7020,French
7020,German
7020,Italian
7020,Spanish
7210,English
7210,French
7220,English
7220,French
7260,English
7510,English
7510,French
7510,German
7510,Italian
7510,Spanish
7520,English
7520,French
7520,German
7520,Italian
7520,Spanish
7520,Czech
7520,Polish
7520,Russian
7530,English
7530,French
7530,German
7530,Italian
7530,Russian
7530,Spanish
7600,English
7600,French
7600,German
7600,Italian
7600,Spanish
7800,English
7800,French
7800,German
7800,Spanish
7800,Russian
7800,SimplifiedChinese
7830,English
7830,Russian
7830,French
7830,Italian
7830,Spanish
7830,German
7860,English
7860,French
7860,German
7860,Spanish
7860,Italian
7860,Russian
7860,Hungarian
7860,Czech
7860,Polish
7940,English
7940,French
7940,German
7940,Italian
7940,Spanish
8000,English
8000,French
8000,German
8000,Italian
8000,Spanish
8080,English
8080,French
8080,German
8080,Italian
8080,Spanish
8140,English
8140,French
8140,Italian
8140,German
8140,Spanish
8190,English
8190,French
8190,German
8190,Italian
8190,Spanish
8190,Polish
8190,Russian
8400,English
8500,English
8500,German
8500,Russian
8500,French
8500,Korean
8500,Japanese
8500,Spanish
8500,SimplifiedChinese
8790,English
8850,English
8850,French
8850,German
8850,Italian
8850,Spanish
8870,English
8870,French
8870,German
8870,Italian
8870,Spanish
8870,Polish
8870,Portuguese
8870,Russian
8870,Japanese
8870,Korean
8870,TraditionalChinese
8980,English
8980,French
8980,Spanish
8980,German
8980,Italian
9000,English
9050,English
9050,German
9050,Italian
9050,Spanish
9050,French
9060,English
9180,English
9200,English
9200,Czech
9200,French
9200,German
9200,Italian
9200,Japanese
9200,Polish
9200,Russian
9200,Spanish
9340,English
9350,English
9350,Czech
9350,French
9350,German
9350,Italian
9350,Polish
9350,Russian
9350,Spanish
9420,English
9420,French
9420,Italian
9420,German
9420,Spanish
9420,Czech
9420,Polish
9420,Russian
9420,TraditionalChinese
9460,English
9460,French
9460,Italian
9460,Spanish
9500,English
9760,English
9800,English
9800,Russian
9800,French
9800,Italian
9800,German
9800,Spanish
9850,English
9850,French
9850,German
9850,Spanish
9850,Italian
9850,Hungarian
9850,Polish
9850,Russian
9850,Czech
9900,English
9900,French
9900,German
9940,English
9940,French
9940,German
9940,Italian
9940,Spanish
9960,English
9960,French
9960,German
9970,English
9970,French
9970,German
10090,English
10090,French
10090,Italian
10090,German
10090,Spanish
10110,English
10130,English
10180,English
10180,French
10180,German
10180,Italian
10180,Spanish
10270,English
10270,Russian
10460,English
11020,English
11020,French
11020,German
11020,Italian
11020,Spanish
11020,Portuguese
11020,Japanese
11020,TraditionalChinese
11020,Korean
11020,Dutch
11020,Russian
11020,Hungarian
11020,Czech
11020,Polish
11050,English
11050,French
11050,German
11050,Italian
11050,Polish
11050,Russian
11050,Spanish
11140,English
11140,French
11140,German
11140,Italian
11140,Polish
11140,Russian
11150,English
11150,Bulgarian
11150,Czech
11150,French
11150,German
11150,Italian
11150,Polish
11150,Russian
11150,Spanish
11180,English
11180,French
11180,German
11180,Spanish
11190,English
11190,Czech
11190,French
11190,German
11190,Italian
11190,Polish
11190,Portuguese
11190,Portuguese
11190,Russian
11190,Spanish
11370,English
11370,French
11370,German
11370,Italian
11370,Spanish
11450,English
11450,French
11450,German
11450,Spanish
11560,English
11560,French
11560,German
11560,Italian
11560,Spanish
11590,English
11590,French
11590,German
11590,Italian
11590,Spanish
11590,Dutch
12110,English
12110,French
12110,German
12110,Italian
12110,Spanish
12130,English
12130,French
12130,German
12130,Italian
12130,Spanish
12150,English
12160,English
12160,French
12160,Italian
12160,German
12160,Spanish
12180,English
12200,Italian
12200,German
12200,Spanish
12200,English
12200,French
12220,English
12220,French
12220,German
12220,Italian
12220,Spanish
12330,English
12340,English
12360,English
12360,French
12360,German
12360,Italian
12360,Spanish
12360,Czech
12360,Hungarian
12360,Polish
12360,Russian
12470,English
12640,English
12640,German
12640,French
12790,English
12790,French
12790,German
12790,Italian
12790,Spanish
12830,English
12830,French
