app_id,streamer_id,streamer_name,followers
10 ,31239503 ,ESLCS,6339201 
10 ,76508554 ,Anomaly,2803951 
10 ,25690271 ,bysTaXx,2211768 
10 ,71190292 ,Trainwreckstv,2147382 
10 ,36717908 ,IzakOOO,1950212 
10 ,163299585 ,BLASTPremier,1926639 
10 ,37287763 ,gafallen,1507294 
10 ,66076836 ,Stewie2K,1479864 
10 ,47207941 ,pashaBiceps,1343672 
10 ,39154778 ,Recrent,1310178 
10 ,35936871 ,ESLCSb,1246788 
10 ,186637705 ,JohnPanio,1216559 
10 ,39393023 ,kennyS,1149023 
10 ,218726370 ,m0NESYof,1014646 
10 ,753198480 ,CreamTheRabbit,1012013 
10 ,29512470 ,berkriptepe,1004197 
10 ,36858184 ,m0E_tv,901476 
10 ,25093116 ,fl0m,884236 
10 ,103262684 ,JASONR,879704 
10 ,46717011 ,olofmeister,840256 
10 ,29468517 ,PAGO3,779848 
10 ,38024128 ,GeT_RiGhT,772438 
10 ,102302893 ,Fenya,734626 
10 ,71167031 ,fer,704199 
10 ,21442544 ,n0thing,692191 
10 ,75891532 ,Michel,658045 
10 ,29039515 ,brax,618875 
10 ,55898523 ,TrilluXe,614113 
10 ,85943836 ,ErycTriceps,587974 
10 ,28635446 ,Mrtweeday,580968 
10 ,159974499 ,pokanoname,577846 
10 ,66272442 ,Nikolarn,564239 
10 ,126902046 ,Lobanjicaa,551780 
10 ,26202775 ,steel_tv,543351 
10 ,655332536 ,nikilarr,524960 
10 ,139345001 ,Aunkere,524285 
10 ,53052202 ,boltz,521773 
10 ,43045369 ,zorlaKOKA,502597 
10 ,85603763 ,Teeqo,501369 
10 ,178752007 ,brkk,486433 
10 ,133850478 ,tati,483212 
10 ,48243045 ,Dosia_csgo,471379 
10 ,182144693 ,BLAST,463146 
10 ,26959170 ,Freakazoid,455096 
10 ,38590945 ,coldzin,440478 
10 ,268731435 ,CCT_CS,421284 
10 ,144261138 ,nicksfps,416667 
10 ,27757893 ,x6FlipiN,391348 
10 ,38019007 ,f0rest,390766 
10 ,104435562 ,QRUSHcsgo,373401 
20 ,19804231 ,NeonLight_TFC,1408 
20 ,132173480 ,dougtck,413 
20 ,25681640 ,r0flz,300 
20 ,38063688 ,Migh7yM0use,168 
20 ,531882990 ,m3dnick,149 
20 ,72002223 ,darkstar_tfc,110 
70 ,227443200 ,Muty,12793 
70 ,113072570 ,KaNangaTV,7701 
70 ,99696534 ,jodidoclue,6139 
70 ,163957787 ,Jeepy,4294 
70 ,183094685 ,spaceashes,3927 
70 ,144087468 ,DiabloEUW_,3222 
70 ,123361885 ,Slvm,2376 
70 ,63781973 ,HuthTV,2156 
70 ,145622339 ,Brainelio,1565 
70 ,39665745 ,Crazyy832,884 
70 ,428409230 ,fruich,705 
70 ,190409723 ,TheBoolaidMan_,679 
70 ,661599031 ,TheFatRatMan,618 
70 ,126003585 ,LynLyn___,597 
70 ,63713553 ,Papa_Canis,576 
70 ,48432844 ,Asel_ga,570 
70 ,178691856 ,braindeadmonkee,557 
70 ,685953886 ,Ceejay987,449 
70 ,39783481 ,Sythka,435 
70 ,74381497 ,HotDoshirak,373 
70 ,448090253 ,Lifestealer2819,369 
70 ,42772387 ,CroosOne,360 
70 ,170448103 ,glawkamolee,343 
70 ,93109333 ,Fou_ttv,316 
70 ,55285607 ,Enrique16ish,300 
70 ,65676387 ,tadehack_ctz,277 
70 ,827215115 ,nemok1ng_,269 
70 ,825287813 ,NE0SURA,258 
70 ,780129572 ,dahael_,238 
70 ,514469881 ,wox1t,221 
70 ,470261470 ,MrPalta69,214 
70 ,86151320 ,LifeUhFindsAway,211 
70 ,649681757 ,CupOfJoe_HL,201 
70 ,710233723 ,nT3x_,178 
70 ,400887328 ,SplatToadOwO,170 
70 ,54723694 ,skillbreed,166 
70 ,192719515 ,sh1boi,161 
70 ,481222499 ,VerifNF,136 
70 ,232561302 ,hsci_,121 
70 ,601089358 ,jordanhchrist,120 
70 ,470445467 ,intalinoo,114 
70 ,582160661 ,Codeboy__,103 
70 ,625734159 ,MoltenMocha,100 
70 ,494492266 ,DeanyJG,100 
70 ,678153204 ,timurkazzt,83 
70 ,487569226 ,goodguyavocado,74 
70 ,127088451 ,Raven_ARG,72 
70 ,627880007 ,ComeOnTomm,72 
70 ,177992797 ,qvixote_cl,71 
70 ,476988855 ,kiljaexo,70 
400 ,32206213 ,Msushi,16730 
400 ,52480667 ,BiiWiX,3471 
400 ,122300753 ,Fresheys,2445 
400 ,678767319 ,Oracios,1633 
400 ,48751294 ,ggoomba1,696 
400 ,86641892 ,rngBone,640 
400 ,957316570 ,BamBrass,607 
400 ,72351714 ,Mr_Mary,579 
400 ,138851731 ,robynbirdttv,553 
400 ,490947177 ,SpikieGoesLive,550 
400 ,458171631 ,s_pinguin_,402 
400 ,520690927 ,sarahspeedrun,394 
400 ,114492069 ,tamaghostie,376 
400 ,97678945 ,Koyzumi,337 
400 ,464088881 ,gang_lion8,298 
400 ,224747241 ,sidsusballs,276 
400 ,175264949 ,42Kil,248 
400 ,205482238 ,domvoyage,244 
400 ,62149182 ,AkrivexVT,194 
400 ,537292584 ,Ngbatz,181 
400 ,124942889 ,Nocturnus1690,150 
400 ,423486818 ,Fidget_the_Batticorn,144 
400 ,21503380 ,EvilSeedlet,141 
400 ,856646090 ,Scramble_Boi,112 
400 ,972990613 ,Lunethyst,99 
400 ,957765581 ,rachels_room,87 
400 ,656242516 ,hrvatsk11,76 
400 ,698545953 ,alatreph,58 
400 ,636574598 ,KnickxKnacks,56 
400 ,1035016095 ,ferventthegamer,50 
400 ,520975261 ,groodfb,41 
400 ,463758645 ,nathduch,4 
420 ,558806680 ,ElUltimoCirculo,194295 
440 ,25467580 ,b4nny,140122 
440 ,48029091 ,pfzin,81700 
440 ,27541787 ,stabbystabby,67855 
440 ,823064800 ,blubaku,46189 
440 ,21255999 ,KritzKast,37152 
440 ,67735985 ,spikey_mikey,23011 
440 ,81926959 ,EssentialsTF,23001 
440 ,41913448 ,habib_6ix_God,20959 
440 ,402091341 ,RGLgg,19968 
440 ,743684821 ,TheKinglyAvocado,17449 
440 ,180001205 ,BIGJ0EYSLAPS,17269 
440 ,46891621 ,aWoolenSleevelet,15390 
440 ,3282480 ,WARHURYEAH,15113 
440 ,131642895 ,CappingTV,13149 
440 ,130851299 ,nyaruchuuu,12607 
440 ,35820361 ,powah,8075 
440 ,104324544 ,jbirdddd,7423 
440 ,117143573 ,pope_abibe,7332 
440 ,94369010 ,Jaromech,7077 
440 ,86999653 ,sandblast,6280 
440 ,115792821 ,Aarmastah,5501 
440 ,156018590 ,stabslive,4585 
440 ,2251001 ,NatP,4065 
440 ,191069529 ,CrinkledChimp,4011 
440 ,109402373 ,Kegaman_,3956 
440 ,81914301 ,tripbwai,3949 
440 ,478429749 ,incafox,3902 
440 ,139243247 ,Mr_Sve,3818 
440 ,535973710 ,FiresideCasts,3761 
440 ,247425030 ,dafuqwizat,3750 
440 ,159718008 ,amppisss,3669 
440 ,597764424 ,Chimparoncito,3617 
440 ,411161351 ,FastFox73,3504 
440 ,140316831 ,swiig1ty,3482 
440 ,53485404 ,R_Williams_Gaming,3464 
440 ,36504110 ,DuMmTm,3454 
440 ,31294001 ,FrostSnail,3378 
440 ,168716980 ,hubida_,3372 
440 ,87610949 ,Proctato_,3282 
440 ,89600533 ,Ratanak45,3065 
440 ,35806099 ,jdi11,3034 
440 ,38965392 ,oceansblooftw,2975 
440 ,43528773 ,doxedd,2888 
440 ,75287811 ,Fehstove,2852 
440 ,247844910 ,DG_AU,2804 
440 ,401646613 ,sin_k4rma_6s_demon,2675 
440 ,193369500 ,AceThePlumber,2646 
440 ,53662103 ,donovin_,2642 
440 ,519593563 ,Everfrost_Samoyed,2626 
440 ,185258751 ,DoomDozen,2547 
500 ,694379609 ,mikelaa_24,2357 
500 ,82906391 ,Cruelocity,325 
500 ,197544292 ,zomtacho,313 
500 ,614391854 ,pillpops,281 
500 ,428635324 ,tibirrita,237 
500 ,541232242 ,crybabylonelmao,228 
500 ,537307990 ,dust_grains,47 
550 ,66140438 ,phatastic,16640 
550 ,791066687 ,BlazeOBG,12830 
550 ,36704122 ,adumb,10573 
550 ,135991050 ,leky,9925 
550 ,203174840 ,LaloHlz,8732 
550 ,157798163 ,PatitoCuak,7211 
550 ,411345018 ,vierytronx,6913 
550 ,566361631 ,Emiruh,6508 
550 ,724529646 ,HEALY999_,5999 
550 ,188643811 ,AylaTennyson,5971 
550 ,116484101 ,nevermoresb,5053 
550 ,91884649 ,ht2589,4688 
550 ,203987979 ,marcosloqd,4622 
550 ,430621736 ,Melonasty,4273 
550 ,19395932 ,Pepinis,4266 
550 ,214262104 ,zaiko_cs,4002 
550 ,74441898 ,risingdl,3874 
550 ,874156594 ,capistreamer_,3867 
550 ,685709822 ,Causagaming,3842 
550 ,108425460 ,patitasr,3714 
550 ,415000987 ,vogeltech,3667 
550 ,40078086 ,loudmb,3325 
550 ,71765600 ,qeotabro,3301 
550 ,16391397 ,xnmbrsx,3163 
550 ,74623953 ,3ybx,3135 
550 ,694161319 ,MachuK1NG,3099 
550 ,721641090 ,NuruVT_,3080 
550 ,508584487 ,Chdz_,3055 
