dlc_g_id ,dlc_id
220,323140
380,323150
400,323170
400,2012840
420,323160
440,629330
570,1241930
570,652720
620,323180
730,2678630
2810,235920
4920,1183100
4920,926020
4920,870920
4920,740660
4920,740650
4920,441480
4920,494080
4920,471240
4920,310100
4920,296360
6420,444760
7510,604280
7510,604290
7510,3050910
7520,200440
7520,302020
7520,302030
7520,456220
7520,456221
7520,502970
7520,578980
7520,633960
7520,633961
7520,633963
7520,633980
7520,633981
7520,771200
7520,907580
7800,1560270
7800,1560280
8190,259080
8190,35080
8190,35089
8190,35083
8190,35090
8190,35091
8190,35102
8190,35101
8500,2830570
8500,2787410
8500,2787430
8500,2787440
8500,2787450
8500,1125050
8500,695740
8500,695741
8500,695742
8500,695743
8500,1983081
8500,2005520
8500,1983083
8500,1983084
8500,1983170
8500,1983085
8500,1983086
8500,1983087
8500,1983088
8500,1983089
8500,1983090
8500,3035720
8500,766710
8500,766711
8500,766712
8850,244610
8870,214933
8870,214931
8870,214932
8870,214930
8870,2028850
9200,209460
9200,452290
9850,443670
9940,300120
9940,357170
9940,357171
10180,10195
10180,10196
15750,616970
16450,16465
18070,18080
18500,18523
18500,18522
18500,18508
18500,18509
18500,18520
18500,18521
20820,20828
21690,352000
22300,22400
22300,22410
22300,22420
22300,22430
22300,22440
22300,461150
22320,451410
22350,22364
22350,22363
22350,22361
22380,72840
22380,72760
22380,72750
22380,72740
22380,72730
22380,461160
22380,22470
22500,22521
23530,23553
23530,23552
23530,23551
23530,23550
24010,2939280
24010,2662540
24010,2662520
24010,2662530
24010,2662510
24010,2662470
24010,2662460
24010,2662430
24010,2662440
24010,2662420
24010,2403305
24010,2662400
24010,2662410
24010,1110402
24010,2403306
24010,1110404
24010,1110401
24010,2662390
24010,1110403
24010,2662380
24010,2662370
24010,1110400
24010,2662360
24010,2403303
24010,2662350
24010,2403307
24010,2403309
24010,2288621
24010,2403302
24010,1211479
24010,1869393
24010,1922045
24010,1869394
24010,2403288
24010,2403308
24010,2403301
24010,2403304
24010,2403300
24010,2288627
24010,2403287
24010,1429756
24010,1429757
24010,2403286
24010,222588
24010,2009528
24010,834407
24010,967287
24010,376954
24010,277768
24010,2009525
24010,2403283
24010,222545
24010,2288624
24010,774754
24010,2403285
24010,1869392
24010,1637251
24010,277767
24010,500214
24010,1109200
24010,1922042
24010,896715
24010,642802
24010,1211478
24010,562374
24010,1429751
24010,277760
24010,1869398
24010,1804514
24010,1012102
24010,277751
24010,1230274
24010,1105542
24010,1109205
24010,861881
24010,621870
24010,1429752
24010,1922047
24010,376961
24010,2288629
24010,1230273
24010,2202027
24010,2009527
24010,2202023
24010,1804516
24010,448185
24010,642803
24010,967280
24010,1109208
24010,1147155
24010,1429753
24010,376975
24010,208286
24010,621925
24010,1637257
24010,2403284
24010,2403282
24010,2403280
24010,2403281
24010,2288626
24010,2288625
24010,376933
24010,1267502
24010,2288622
24010,2288620
24010,2202028
24010,2202029
24010,277752
24010,376938
24010,2202026
24010,2202021
24010,2202024
24010,1922049
24010,1429754
24010,2202020
24010,1922046
24010,2202022
24010,1922043
24010,1055333
