discussion_id,game_id
167142304,289130
168649062,289130
169005787,289130
168614138,289130
168754197,289130
168740658,289130
167708337,289130
169039737,289130
168222628,289130
168640185,289130
168180372,289130
168178839,289130
168347981,289130
167100540,2215430
166927415,2215430
167023102,2215430
168579609,2215430
166948411,2215430
167244425,2215430
167310215,2215430
166984861,2215430
168422573,2215430
167612188,2215430
167453735,2215430
167368641,2215430
167377508,2215430
168108827,2215430
167759067,2215430
167099043,2215430
168132465,2215430
167605290,2215430
167525573,2215430
167423659,2215430
167807859,1604030
167680971,1604030
167745999,1604030
167181953,1604030
167714382,1604030
168112280,1604030
168813747,1604030
166974287,1604030
168063540,1604030
168392886,1604030
168422625,1604030
168973495,1604030
167594009,1604030
167747415,1604030
167136170,1604030
167118932,1604030
168349622,1604030
167109694,1604030
167015745,1604030
168556649,1604030
166971026,1128860
167049769,1128860
168674967,1128860
167619995,1128860
168444164,1128860
166875041,1128860
167175632,1128860
166963868,1128860
168420824,1128860
167224558,1128860
168296077,1128860
167223368,1128860
167264171,1128860
166849921,1128860
168255089,1128860
167969522,1128860
167448125,1128860
168032939,1128860
168271264,1128860
167286723,1128860
168007306,1086940
168027592,1086940
168575603,1086940
167032554,1086940
167049982,1086940
168823708,1086940
168500136,1086940
167311697,1086940
167577382,1086940
167223878,1086940
167176031,1086940
166967424,1086940
166981567,1086940
169105533,1086940
168380364,1086940
169104472,1086940
168295426,1086940
168032963,1086940
169035399,1086940
168372496,1086940
168124220,1283400
168969308,1283400
167071264,1283400
168726716,1283400
167566741,1283400
167145806,1283400
167203165,1283400
169003301,1283400
166840471,1283400
168443730,1283400
168665800,1283400
168236744,1283400
168364181,1283400
168331994,1283400
168626613,1283400
167618313,1283400
167592668,1283400
168664447,1283400
167545009,1283400
168881892,1283400
167280495,1151340
166928951,1151340
168239160,1151340
167123252,1151340
168994565,1151340
168597029,1151340
167584611,1151340
169012998,1151340
167116465,1151340
167552268,1151340
167654979,1151340
169075518,1151340
167246253,1151340
167322547,1151340
168148238,1151340
168946326,1151340
167421569,1151340
167385073,1151340
167387907,1151340
167533157,1151340
167169948,282800
167822355,282800
168387991,282800
168423098,282800
167529596,282800
167815843,282800
167602102,282800
168393039,282800
167584184,282800
168545399,282800
168761500,282800
169128138,282800
169088942,282800
168749972,282800
168070547,282800
167841441,282800
167221364,282800
166988482,282800
166909923,282800
168230501,282800
167942329,1817230
166881908,1817230
167056150,1817230
168504926,1817230
168263933,1817230
168271636,1817230
167051224,1817230
169041955,1817230
168732007,1817230
168719077,1817230
168832295,1817230
167573189,1817230
168161116,1817230
169158006,1817230
169005490,1817230
168543134,1817230
168663181,1817230
167130905,1817230
168333445,1817230
168674452,1817230
168480328,1245620
167369200,1245620
168545552,1245620
168873404,1245620
167118420,1245620
168065897,1245620
168768909,1245620
168648802,1245620
167514689,1245620
166963633,1245620
168424296,1245620
167278159,1245620
168416049,1245620
167767552,1245620
168842413,1245620
168138150,1245620
167273410,1245620
169121634,1245620
167992614,1245620
167055651,1245620
167512395,1091500
168071235,1091500
167297800,1091500
168777348,1091500
167395386,1091500
166991393,1091500
168407793,1091500
166939930,1091500
168579369,1091500
168344735,1091500
167731660,1091500
167210276,1091500
168698525,1091500
168992432,1091500
169204174,1091500
167606304,1091500
168082496,1091500
168529954,1091500
