timestamp,price
1560462844000,11.49
1561484370000,1.14
1562699963000,11.49
1574791858000,1.14
1575409114000,3.41
1575418823000,11.49
1576779616000,1.14
1577995709000,11.49
1593106264000,2.29
1594315647000,4.55
1594330318000,11.49
1603992215000,2.29
1604342529000,11.49
1606328634000,2.29
1606857430000,11.49
1608663334000,2.29
1609883962000,11.49
1624556487000,2.29
1625765975000,4.55
1625780387000,11.49
1637777531000,2.29
1638385330000,4.55
1638395853000,11.49
1640196955000,2.29
1641409267000,4.55
1641428790000,11.49
1643339615000,2.29
1643915056000,11.49
1656003742000,2.29
1657215332000,3.44
1657217356000,11.49
1666654584000,12.99
1669142902000,1.29
1669747003000,1.94
1669749023000,12.99
1670510102000,1.29
1670942145000,10.71
1670942663000,12.99
1671734930000,1.94
1671737551000,1.29
1672943730000,1.94
1672945834000,12.99
1677522798000,1.30
1678127692000,1.94
1678128731000,12.99
1678989019000,1.94
1678992044000,1.29
1679593345000,1.94
1679595253000,12.99
1682357777000,1.29
1682962895000,1.94
1682964629000,12.99
1688061058000,1.94
1688064075000,1.29
1689269879000,12.99
1691084024000,1.29
1691689190000,1.94
1691691014000,12.99
1694540085000,1.29
1695144889000,12.99
1700592436000,1.94
1700593723000,1.29
1701197025000,12.99
1703182050000,1.29
1704996000000,1.94
1704999755000,12.99
1707764257000,1.29
1708365600000,10.71
1708368318000,12.99
1710437625000,1.29
1711045248000,12.99
1714586526000,12.46
1715793469000,12.99
1716484227000,10.71
1716486602000,1.29
1717088400000,10.71
1717092164000,12.99
1718434448000,12.99
