app_id,game_name,price,rate_num,rate_positive
620,"Portal 2",12.99,395070,389951
400,Portal,12.99,158365,155936
684410,"Bridge Constructor Portal",1.39,5954,5452
873200,"Teleportals. I swear it's a nice game",1.19,316,303
